Dutch,English
ik,I
jij/je,you (informal)
u,you (formal)
hij,he
zij/ze,she/they
het,it
wij/we,we
jullie,you (plural)
dit,this
dat,that
wie,who
wat,what
waar,where
wanneer,when
waarom,why
hoe,how
niet,not
geen,no/none
ja,yes
nee,no
alstublieft,please
dank u wel,thank you
bedankt,thanks
goedemorgen,good morning
goeiemiddag,good afternoon
goedenavond,good evening
goedenacht,good night
hallo,hello
hoi,hi
tot ziens,goodbye
doei,bye
meneer,mister/sir
mevrouw,madam/mrs
vriend,friend (m)
vriendin,friend (f)
man,man/husband
vrouw,woman/wife
kind,child
baby,baby
jongen,boy
meisje,girl
familie,family
naam,name
straat,street
huis,house/home
stad,city
dorp,village
land,country
werk,work
school,school
baan,job
winkel,shop/store
markt,market
geld,money
auto,car
fiets,bicycle
bus,bus
trein,train
station,station
luchthaven,airport
kamer,room
keuken,kitchen
badkamer,bathroom
bed,bed
tafel,table
stoel,chair
deur,door
raam,window
muur,wall
vloer,floor
plafond,ceiling
licht,light
water,water
brood,bread
melk,milk
koffie,coffee
thee,tea
bier,beer
wijn,wine
fruit,fruit
groente,vegetables
vlees,meat
vis,fish
kaas,cheese
appel,apple
banaan,banana
sinaasappel,orange
aardappel,potato
tomaat,tomato
ei,egg
boter,butter
suiker,sugar
zout,salt
peper,pepper
eten,food/to eat
drinken,to drink
koken,to cook
maken,to make
lezen,to read
schrijven,to write
spreken,to speak
zeggen,to say
luisteren,to listen
kijken,to look/watch
zien,to see
gaan,to go
komen,to come
lopen,to walk
rennen,to run
zitten,to sit
staan,to stand
slapen,to sleep
werken,to work
spelen,to play
studeren,to study
leren,to learn
begrijpen,to understand
weten,to know
denken,to think
voelen,to feel
willen,to want
kunnen,can/to be able
moeten,must/to have to
mogen,may/to be allowed
houden van,to love
leuk vinden,to like
helpen,to help
proberen,to try
vragen,to ask
antwoorden,to answer
kopen,to buy
verkopen,to sell
beginnen,to begin
eindigen,to finish
openen,to open
sluiten,to close
dragen,to carry/wear
pakken,to take
gooien,to throw
lachen,to laugh
huilen,to cry
roepen,to call/yell
wachten,to wait
vergeten,to forget
herinneren,to remember
vasthouden,to hold
laten,to let
geven,to give
nemen,to take
gebruiken,to use
trekken,to pull
duwen,to push
reizen,to travel
betalen,to pay
zoeken,to search
vinden,to find
verliezen,to lose
winnen,to win
dag,day
nacht,night
ochtend,morning
middag,noon/afternoon
avond,evening
tijd,time
jaar,year
maand,month
week,week
uur,hour
minuut,minute
seconde,second
altijd,always
nooit,never
soms,sometimes
vaak,often
nu,now
later,later
gisteren,yesterday
vandaag,today
morgen,tomorrow
groot,big
klein,small
lang,long/tall
kort,short
nieuw,new
oud,old
goed,good
slecht,bad
mooi,beautiful
lelijk,ugly
makkelijk,easy
moeilijk,difficult
snel,fast
langzaam,slow
warm,warm
koud,cold
jong,young
gelukkig,happy
verdrietig,sad
ziek,sick
gezond,healthy
duur,expensive
goedkoop,cheap
een,one
twee,two
drie,three
vier,four
vijf,five
zes,six
zeven,seven
acht,eight
negen,nine
tien,ten
elf,eleven
twaalf,twelve
dertien,thirteen
veertien,fourteen
vijftien,fifteen
zestien,sixteen
zeventien,seventeen
achttien,eighteen
negentien,nineteen
twintig,twenty
dertig,thirty
veertig,forty
vijftig,fifty
zestig,sixty
zeventig,seventy
tachtig,eighty
negentig,ninety
honderd,hundred
duizend,thousand